ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
22,1009,20848,4,,,,,,,,
22,1029,24500,4,,,,,,,,
25,1145,19793,4,,,,,,,,
23,1076,20216.5,4,,,,,,,,
22,1059,25000,4,,,,,,,,
21,1030,19822.5,4,,,,,,,,
21,1005,25000,4,,,,,,,,
22,1010,17010,4,,,,,,,,
21,1010,19557,4,,,,,,,,
22,1002,24000,4,,,,,,,,
21,1007,25450,4,,,,,,,,
21,978,25500,4,,,,,,,,
23,1037,21500,4,,,,,,,,
20,1008,16495,5,,,,,,,,
23,1135,25250,5,,,,,,,,
25,1120,25000,5,,,,,,,,
23,1125,6056,5,,,,,,,,
20,1039,30500,5,,,,,,,,
20,964,18500,5,,,,,,,,
28,1263,27000,5,,,,,,,,
21,1038,16382.5,5,,,,,,,,
21,1008,23500,5,,,,,,,,
23,1102,27000,5,,,,,,,,
18,883,30982,5,,,,,,,,
21,1021,23567.5,5,,,,,,,,
25,1142,21500,5,,,,,,,,
20,966,26500,5,,,,,,,,
25,1144,20493,5,,,,,,,,
21,1029,25000,5,,,,,,,,
22,1064,20907.5,5,,,,,,,,
22,1046,24184,5,,,,,,,,
19,966,23000,5,,,,,,,,
20,967,25000,5,,,,,,,,
21,982,27000,5,,,,,,,,
27,1230,27000,5,,,,,,,,
24,1047,24010.5,5,,,,,,,,
23,1109,25000,5,,,,,,,,
18,886,35000,5,,,,,,,,
18,868,37524,5,,,,,,,,
20,987,16021.5,5,,,,,,,,
25,1161,20000,5,,,,,,,,
22,1050,17250,5,,,,,,,,
20,990,23743.5,5,,,,,,,,
23,1104,20500,5,,,,,,,,
23,1135,25500,5,,,,,,,,
22,1030,20785,5,,,,,,,,
23,1082,16989,5,,,,,,,,
20,1031,20308,5,,,,,,,,
21,1030,21082.5,5,,,,,,,,
21,1027,22375,5,,,,,,,,
21,1010,25000,5,,,,,,,,
21,1030,21313,5,,,,,,,,
19,910,31271.5,5,,,,,,,,
17,806,23590,5,,,,,,,,
23,1070,20250,5,,,,,,,,
30,1342,27000,5,,,,,,,,
21,1039,27000,5,,,,,,,,
30,1333,19195.5,1,,,,,,,,
20,951,26250,1,,,,,,,,
19,899,18500,1,,,,,,,,
23,1024,27000,1,,,,,,,,
23,1073,27000,1,,,,,,,,
20,998,22913,1,,,,,,,,
16,867,22927,2,,,,,,,,
23,1075,23000,2,,,,,,,,
19,854,27000,2,,,,,,,,
20,967,22250,2,,,,,,,,
33,1439,16250,2,,,,,,,,
17,842,27000,2,,,,,,,,
17,874,31000,2,,,,,,,,
21,1048,25995,2,,,,,,,,
27,1188,20962.5,2,,,,,,,,
27,1323,27000,2,,,,,,,,
23,1082,18500,2,,,,,,,,
21,990,25803,2,,,,,,,,
31,1439,11706,1,,,,,,,,
29,1272,27000,1,,,,,,,,
20,951,22878.5,1,,,,,,,,
22,1015,26000,1,,,,,,,,
31,1380,19000,1,,,,,,,,
29,1300,27000,1,,,,,,,,
31,1369,27000,1,,,,,,,,
20,948,26000,1,,,,,,,,
16,857,17184.5,1,,,,,,,,
20,918,24362,1,,,,,,,,
26,1244,24000,1,,,,,,,,
26,1161,27000,1,,,,,,,,
34,1501,6500,1,,,,,,,,
23,1086,25000,1,,,,,,,,
26,1145,25000,1,,,,,,,,
25,1074,27000,1,,,,,,,,
35,1500,14990,1,,,,,,,,
32,1420,28501,1,,,,,,,,
26,1170,26250,1,,,,,,,,
22,1025,24826.5,1,,,,,,,,
31,1390,9000,1,,,,,,,,
26,1116,27000,1,,,,,,,,
22,997,19500,1,,,,,,,,
22,1009,27000,3,,,,,,,,
24,1125,27000,3,,,,,,,,
24,1101,27000,3,,,,,,,,
25,1081,27750,3,,,,,,,,
23,1090,25000,3,,,,,,,,
26,1182,26999.5,3,,,,,,,,
22,1050,27000,3,,,,,,,,
20,990,25458,3,,,,,,,,
24,1110,25000,3,,,,,,,,
22,1028,26000,3,,,,,,,,
22,1010,24425.5,3,,,,,,,,
28,1223,27000,3,,,,,,,,
22,1051,23438,3,,,,,,,,
23,1089,25500,3,,,,,,,,
26,1185,27000,3,,,,,,,,
27,1239,25936,3,,,,,,,,
22,1028,24454,3,,,,,,,,
25,1127,27000,3,,,,,,,,
21,1049,25000,3,,,,,,,,
17,800,35500,3,,,,,,,,
20,972,23529,3,,,,,,,,
30,1380,20495.5,3,,,,,,,,
26,1158,25458,3,,,,,,,,
28,1244,26264,3,,,,,,,,
24,1105,25750,3,,,,,,,,
21,993,27500,3,,,,,,,,
21,1010,22000,3,,,,,,,,
21,1004,22750,3,,,,,,,,
23,1070,25000,3,,,,,,,,
21,917,27000,3,,,,,,,,
21,1030,24750,3,,,,,,,,
21,1030,27000,3,,,,,,,,
21,1035,25000,3,,,,,,,,
19,910,27500,3,,,,,,,,
22,1070,21393,3,,,,,,,,
22,1030,26587,3,,,,,,,,
22,1074,27000,4,,,,,,,,
21,1010,21500,4,,,,,,,,
22,1070,25000,4,,,,,,,,
24,1146,24069,4,,,,,,,,
26,1166,27000,4,,,,,,,,
25,1125,22194,4,,,,,,,,
24,1101,25500,4,,,,,,,,
30,1354,23747,4,,,,,,,,
22,1010,22997,4,,,,,,,,
28,1271,20500,4,,,,,,,,
22,1006,19500,4,,,,,,,,
22,1088,26875,4,,,,,,,,
25,1110,25190,4,,,,,,,,
25,1148,19157,4,,,,,,,,
22,1049,22250,4,,,,,,,,
22,1062,25500,4,,,,,,,,
24,1110,22250,4,,,,,,,,
21,964,19125,4,,,,,,,,
26,1179,26000,4,,,,,,,,
22,1010,23185,4,,,,,,,,
26,1155,27000,4,,,,,,,,
23,1067,20500,4,,,,,,,,
29,1292,27000,4,,,,,,,,
22,1016,26259,4,,,,,,,,
24,1106,21500,4,,,,,,,,
20,949,26722.5,4,,,,,,,,
22,1032,28065,4,,,,,,,,
22,990,22500,4,,,,,,,,
22,1050,23664.5,4,,,,,,,,
17,872,28000,5,,,,,,,,
20,968,22500,5,,,,,,,,
18,911,29500,5,,,,,,,,
